Cell line	Data type	Sample	URL
Gm12878	H3k27me3	wgEncodeBroadHistoneGm12878H3k27me3StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k27me3StdRawDataRep2.fastq.gz      
Gm12878	H3k27me3	wgEncodeBroadHistoneGm12878H3k27me3StdRawDataRep3V2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k27me3StdRawDataRep3V2.fastq.gz    
Gm12878	H3k36me3	wgEncodeBroadHistoneGm12878H3k36me3StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k36me3StdRawDataRep1.fastq.gz      
Gm12878	H3k36me3	wgEncodeBroadHistoneGm12878H3k36me3StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k36me3StdRawDataRep2.fastq.gz      
Gm12878	H3k79me2	wgEncodeBroadHistoneGm12878H3k79me2StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k79me2StdRawDataRep1.fastq.gz      
Gm12878	H3k79me2	wgEncodeBroadHistoneGm12878H3k79me2StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k79me2StdRawDataRep2.fastq.gz
Gm12878	H4k20me1	wgEncodeBroadHistoneGm12878H4k20me1StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H4k20me1StdRawDataRep1.fastq.gz      
Gm12878	H4k20me1	wgEncodeBroadHistoneGm12878H4k20me1StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H4k20me1StdRawDataRep2.fastq.gz      
Gm12878	Pol2RawData	wgEncodeSydhTfbsGm12878Pol2RawDataRep1	http://hgdownload.cse.ucsc.edu/goldenpath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12878Pol2RawDataRep1.fastq.gz    
Gm12878	Pol2RawData	wgEncodeSydhTfbsGm12878Pol2RawDataRep2	http://hgdownload.cse.ucsc.edu/goldenpath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12878Pol2RawDataRep2.fastq.gz     
Gm12878	Input	wgEncodeSydhTfbsGm12878InputRawData	http://hgdownload.cse.ucsc.edu/goldenpath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12878InputRawData.fastq.gz                
Gm12878	OpenChromDnase	wgEncodeOpenChromDnaseGm12878AlnRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseGm12878AlnRep1.bam                              
Gm12878	OpenChromDnase	wgEncodeOpenChromDnaseGm12878AlnRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseGm12878AlnRep1.bam.bai                          
Gm12878	OpenChromDnase	wgEncodeOpenChromDnaseGm12878AlnRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseGm12878AlnRep2.bam                              
Gm12878	OpenChromDnase	wgEncodeOpenChromDnaseGm12878AlnRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseGm12878AlnRep2.bam.bai                          
Gm12878	OpenChromDnase	wgEncodeOpenChromDnaseGm12878AlnRep3	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseGm12878AlnRep3.bam                              
Gm12878	OpenChromDnase	wgEncodeOpenChromDnaseGm12878AlnRep3	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseGm12878AlnRep3.bam.bai                          
Gm12878	OpenChromDnase	wgEncodeOpenChromDnaseGm12878AlnRep4	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseGm12878AlnRep4.bam                              
Gm12878	OpenChromDnase	wgEncodeOpenChromDnaseGm12878AlnRep4	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseGm12878AlnRep4.bam.bai                          
Gm12878	OpenChromDnase	wgEncodeOpenChromDnaseGm12878AlnRep5	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseGm12878AlnRep5.bam                              
Gm12878	OpenChromDnase	wgEncodeOpenChromDnaseGm12878AlnRep5	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromDnase/wgEncodeOpenChromDnaseGm12878AlnRep5.bam.bai                          
Gm12878 	Nsome	wgEncodeSydhNsomeGm12878AlnRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeGm12878AlnRep1.bam
Gm12878 	Nsome	wgEncodeSydhNsomeGm12878AlnRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeGm12878AlnRep1.bam.bai
Gm12878 	Nsome	wgEncodeSydhNsomeGm12878AlnRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeGm12878AlnRep2.bam
Gm12878 	Nsome	wgEncodeSydhNsomeGm12878AlnRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeGm12878AlnRep2.bam.bai
Gm12878 	Nsome	wgEncodeSydhNsomeGm12878AlnRep3	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeGm12878AlnRep3.bam
Gm12878 	Nsome	wgEncodeSydhNsomeGm12878AlnRep3	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeGm12878AlnRep3.bam.bai
Gm12878 	Nsome	wgEncodeSydhNsomeGm12878AlnRep4	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeGm12878AlnRep4.bam
Gm12878 	Nsome	wgEncodeSydhNsomeGm12878AlnRep4	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeGm12878AlnRep4.bam.bai
Gm12878 	Nsome	wgEncodeSydhNsomeGm12878AlnRep5	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeGm12878AlnRep5.bam
Gm12878 	Nsome	wgEncodeSydhNsomeGm12878AlnRep5	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeGm12878AlnRep5.bam.bai
Gm12878 	Nsome	wgEncodeSydhNsomeGm12878AlnRep6	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeGm12878AlnRep6.bam
Gm12878 	Nsome	wgEncodeSydhNsomeGm12878AlnRep6	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeGm12878AlnRep6.bam.bai
Gm12878 	Nsome	wgEncodeSydhNsomeGm12878AlnRep7	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeGm12878AlnRep7.bam
